FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\manifests\deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\reloader.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\default\manager_auth_proxy_patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\deployments\webhook\manager_webhook_patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\manager\manager.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller\argocd-application-controller-statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\applicationset-controller\argocd-applicationset-controller-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\dex\argocd-dex-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\notification\argocd-notifications-controller-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\redis\argocd-redis-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\repo-server\argocd-repo-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\server\argocd-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\core-install.yaml,High,C-0057 - Privileged container,0,4,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\base\controller-deployment\argocd-application-controller-statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\base\controller-deployment\argocd-repo-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\base\controller-deployment\argocd-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\base\overlays\argocd-application-controller-statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\base\overlays\argocd-repo-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\base\overlays\argocd-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\base\redis-ha\chart\upstream.yaml,High,C-0057 - Privileged container,0,2,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\install.yaml,High,C-0057 - Privileged container,0,8,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\namespace-install.yaml,High,C-0057 - Privileged container,0,8,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\install.yaml,High,C-0057 - Privileged container,0,7,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\namespace-install.yaml,High,C-0057 - Privileged container,0,7,100.0
project-yamls\YAMLfiles\repos\argo-rollouts\manifests\base\argo-rollouts-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-rollouts\manifests\dashboard-install.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-rollouts\manifests\dashboard-install\dashboard-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-rollouts\manifests\install.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-rollouts\manifests\namespace-install.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-rollouts\manifests\namespace-install\add-namespaced-flag.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argocd-image-updater\manifests\base\deployment\argocd-image-updater-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argocd-image-updater\manifests\install.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\charts\samples\nginx-scaledobject.yml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\cluster-monitoring\manifests\grafana-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\cluster-monitoring\manifests\kube-state-metrics-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\cluster-monitoring\manifests\node-exporter-daemonset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\cluster-monitoring\manifests\prometheus-adapter-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\cluster-monitoring\manifests\setup\prometheus-operator-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\dubbo-admin\kubernetes\dubbo-admin\deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\dubbo-admin\kubernetes\grafana\statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\dubbo-admin\kubernetes\nacos\statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\dubbo-admin\kubernetes\zookeeper\statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\db-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\redis-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\result-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\vote-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\worker-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\_base\kubectl-patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\_base\sync.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\azure\config-patches.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\azure\reconcile-patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\generic\reconcile-patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\_base\kubectl-patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\_base\sync.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\aws\reconcile-patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\azure\config-patches.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\azure\reconcile-patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\gcp\reconcile-patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\grafana-operator\config\chainsaw-overlay\deployment-patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\grafana-operator\config\default\manager_config_patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\grafana-operator\config\manager\manager.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\grafana-operator\deploy\kustomize\base\deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\grafana-operator\deploy\kustomize\overlays\namespace_scoped\deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\common\scripts\metallb-native.yaml,High,C-0057 - Privileged container,0,2,100.0
project-yamls\YAMLfiles\repos\istio\prow\config\calico.yaml,High,C-0057 - Privileged container,1,2,50.0
project-yamls\YAMLfiles\repos\istio\prow\config\metrics\metrics.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\addons\extras\skywalking.yaml,High,C-0057 - Privileged container,0,2,100.0
project-yamls\YAMLfiles\repos\istio\samples\addons\extras\zipkin.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\addons\grafana.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\addons\jaeger.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\addons\kiali.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\addons\loki.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\addons\prometheus.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\details.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\productpage.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\ratings.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\reviews.yaml,High,C-0057 - Privileged container,0,3,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-db.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-details-dualstack.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-details-v2.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-details.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-dualstack.yaml,High,C-0057 - Privileged container,0,6,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-mysql.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-psa.yaml,High,C-0057 - Privileged container,0,6,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings-dualstack.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings-v2-mysql-vm.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings-v2-mysql.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings-v2.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-reviews-v2.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo.yaml,High,C-0057 - Privileged container,0,6,100.0
project-yamls\YAMLfiles\repos\istio\samples\extauthz\ext-authz.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\extauthz\local-ext-authz.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\grpc-echo\grpc-echo.yaml,High,C-0057 - Privileged container,0,2,100.0
project-yamls\YAMLfiles\repos\istio\samples\health-check\liveness-command.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\health-check\liveness-http-same-port.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\helloworld\helloworld-dual-stack.yaml,High,C-0057 - Privileged container,0,2,100.0
project-yamls\YAMLfiles\repos\istio\samples\helloworld\helloworld.yaml,High,C-0057 - Privileged container,0,2,100.0
project-yamls\YAMLfiles\repos\istio\samples\httpbin\httpbin-nodeport.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\httpbin\httpbin-vault.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\httpbin\httpbin.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\httpbin\sample-client\fortio-deploy.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\jwt-server\jwt-server.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\open-telemetry\loki\otel.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\open-telemetry\otel.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\ratelimit\rate-limit-service.yaml,High,C-0057 - Privileged container,0,2,100.0
project-yamls\YAMLfiles\repos\istio\samples\security\spire\sleep-spire.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\security\spire\spire-quickstart.yaml,High,C-0057 - Privileged container,1,2,50.0
project-yamls\YAMLfiles\repos\istio\samples\sleep\notsleep.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\sleep\sleep-vault.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\sleep\sleep.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo-dual-stack.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo-ipv4.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo-ipv6.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo-services.yaml,High,C-0057 - Privileged container,0,2,100.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo.yaml,High,C-0057 - Privileged container,0,1,100.0
