FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
project-yamls\YAMLfiles\repos\dubbo-admin\kubernetes\grafana\statefulset.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\dubbo-admin\kubernetes\nacos\statefulset.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\dubbo-admin\kubernetes\zookeeper\statefulset.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\db-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\redis-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\result-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\vote-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\example-voting-app\k8s-specifications\worker-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\_base\kubectl-patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\_base\sync.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\azure\config-patches.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\azure\reconcile-patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\eventhub-credentials-sync\generic\reconcile-patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\_base\kubectl-patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\_base\sync.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\aws\reconcile-patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\azure\config-patches.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\azure\reconcile-patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\flux2\manifests\integrations\registry-credentials-sync\gcp\reconcile-patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\grafana-operator\config\chainsaw-overlay\deployment-patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\grafana-operator\config\default\manager_config_patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\grafana-operator\config\manager\manager.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\grafana-operator\deploy\kustomize\base\deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\grafana-operator\deploy\kustomize\overlays\namespace_scoped\deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\common\scripts\metallb-native.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\prow\config\calico.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\prow\config\metrics\metrics.yaml,Medium,C-0030 - Ingress and Egress blocked,0,1,100.0
project-yamls\YAMLfiles\repos\istio\samples\addons\extras\skywalking.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\samples\addons\extras\zipkin.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\addons\grafana.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\addons\jaeger.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\addons\kiali.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\addons\loki.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\addons\prometheus.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\details.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\productpage.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\ratings.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\reviews.yaml,Medium,C-0030 - Ingress and Egress blocked,3,3,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-db.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-details-dualstack.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-details-v2.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-details.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-dualstack.yaml,Medium,C-0030 - Ingress and Egress blocked,6,6,0.0
