FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\manifests\deployment.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\manifests\deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\manifests\deployment.yaml,Medium,C-0034 - Automatic mapping of service account,1,1,0.0
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\manifests\serviceaccount.yaml,Medium,C-0034 - Automatic mapping of service account,1,1,0.0
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\reloader.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\reloader.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\reloader.yaml,Medium,C-0034 - Automatic mapping of service account,2,2,0.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\default\manager_auth_proxy_patch.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\default\manager_auth_proxy_patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\default\manager_auth_proxy_patch.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\deployments\webhook\manager_webhook_patch.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\deployments\webhook\manager_webhook_patch.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\deployments\webhook\manager_webhook_patch.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\manager\manager.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\manager\manager.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\manager\manager.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\manager\service_account.yaml,Medium,C-0034 - Automatic mapping of service account,1,1,0.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-deployment.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-deployment.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-statefulset.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-statefulset.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-roles\argocd-application-controller-sa.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller\argocd-application-controller-statefulset.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller\argocd-application-controller-statefulset.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller\argocd-application-controller-statefulset.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\applicationset-controller\argocd-applicationset-controller-deployment.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\applicationset-controller\argocd-applicationset-controller-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\applicationset-controller\argocd-applicationset-controller-deployment.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\applicationset-controller\argocd-applicationset-controller-sa.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\dex\argocd-dex-server-deployment.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\dex\argocd-dex-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\dex\argocd-dex-server-deployment.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\dex\argocd-dex-server-sa.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\notification\argocd-notifications-controller-deployment.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\notification\argocd-notifications-controller-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\notification\argocd-notifications-controller-deployment.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\notification\argocd-notifications-controller-sa.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\redis\argocd-redis-deployment.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\redis\argocd-redis-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\redis\argocd-redis-deployment.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\redis\argocd-redis-sa.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\repo-server\argocd-repo-server-deployment.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\repo-server\argocd-repo-server-deployment.yaml,High,C-0057 - Privileged container,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\repo-server\argocd-repo-server-deployment.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\repo-server\argocd-repo-server-sa.yaml,Medium,C-0034 - Automatic mapping of service account,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\server\argocd-server-deployment.yaml,High,C-0038 - Host PID/IPC privileges,0,1,100.0
